Designator,Mid X,Mid Y,Rotation,Layer
C1,55.0546,-104.5394,0.0,top
C2,137.885,-110.3248,90.0,top
C3,135.9246,-110.0794,90.0,top
D1,60.759,-118.0896,0.0,top
D2,62.9898,-108.1504,180.0,top
D3,65.812,-114.5264,90.0,top
F1,67.4974,-119.0922,180.0,top
J1,55.6192,-111.546,270.0,top
J2,60.4605,-82.736,180.0,top
J3,140.8078,-114.3738,0.0,top
L1,76.9488,-118.1498,0.0,top
Q1,67.4138,-78.1796,0.0,top
Q2,135.8176,-117.8582,270.0,top
R1,70.6536,-78.1432,270.0,top
R10,92.105,-89.9002,270.0,top
R11,135.8582,-120.8094,180.0,top
R12,100.5142,-95.8226,0.0,top
R13,135.823,-113.811,90.0,top
R2,58.4074,-104.5002,0.0,top
R3,77.508,-109.22,180.0,top
R4,122.517,-109.2408,0.0,top
R5,63.592,-77.6294,180.0,top
R6,66.6592,-107.3034,0.0,top
R7,65.624,-110.3284,180.0,top
R8,71.3328,-115.4984,0.0,top
R9,68.6562,-114.9954,270.0,top
SW1,77.7305,-101.9823,0.0,top
SW2,124.2887,-101.9809,0.0,top
U1,101.1178,-85.7136,0.0,top
U2,99.985,-112.1812,90.0,top
